Latitud,Longitud,Fase,Desplazamiento_m,Deformacion_mm
13.741709,-89.068227,2.1676,-0.009568,-9.5676
13.741715,-89.067487,2.2025,-0.009721,-9.7213
13.741721,-89.066748,2.248,-0.009922,-9.9221
13.741727,-89.066008,2.248,-0.009922,-9.9221
13.741733,-89.065269,2.1795,-0.00962,-9.6199
13.74174,-89.064529,2.2509,-0.009935,-9.9349
13.741746,-89.06379,2.3318,-0.010292,-10.2922
13.741752,-89.06305,2.3499,-0.010372,-10.372
13.741758,-89.062311,2.2671,-0.010007,-10.0066
13.741764,-89.061571,2.2362,-0.00987,-9.8703
13.741771,-89.060832,2.1789,-0.009617,-9.6171
13.741777,-89.060092,2.0499,-0.009048,-9.0479
13.741783,-89.059353,2.0546,-0.009069,-9.0687
13.741789,-89.058613,2.013,-0.008885,-8.8849
13.741795,-89.057874,1.9631,-0.008665,-8.6648
13.741801,-89.057134,1.9356,-0.008543,-8.5435
13.741808,-89.056395,1.8981,-0.008378,-8.378
13.741814,-89.055655,1.8561,-0.008192,-8.1923
13.74182,-89.054916,1.8282,-0.008069,-8.0693
13.741826,-89.054176,1.7325,-0.007647,-7.6471
13.741832,-89.053437,1.68,-0.007415,-7.4152
13.741838,-89.052697,1.6222,-0.00716,-7.1602
13.741845,-89.051958,1.6292,-0.007191,-7.191
13.741851,-89.051218,1.5417,-0.006805,-6.8047
13.741857,-89.050479,1.5888,-0.007013,-7.0127
13.741863,-89.049739,1.5165,-0.006694,-6.6937
13.741869,-89.049,1.5607,-0.006889,-6.8885
13.741875,-89.04826,1.4093,-0.006221,-6.2205
13.741881,-89.047521,1.5163,-0.006693,-6.6927
13.741888,-89.046781,1.4653,-0.006468,-6.4676
13.741894,-89.046042,1.4661,-0.006471,-6.471
13.7419,-89.045302,1.5184,-0.006702,-6.7019
13.741906,-89.044563,1.7222,-0.007602,-7.6017
13.741912,-89.043823,1.6306,-0.007197,-7.1972
13.741918,-89.043084,1.3691,-0.006043,-6.0429
13.741924,-89.042344,1.5545,-0.006861,-6.8612
13.74193,-89.041605,1.6453,-0.007262,-7.2623
13.741937,-89.040865,1.1602,-0.005121,-5.1211
13.741943,-89.040126,1.2076,-0.00533,-5.3302
13.741949,-89.039386,1.0378,-0.004581,-4.5808
13.741955,-89.038646,1.5188,-0.006704,-6.7038
13.741961,-89.037907,1.3745,-0.006067,-6.067
13.741967,-89.037167,1.2743,-0.005625,-5.6245
13.741973,-89.036428,1.1,-0.004855,-4.8553
13.741979,-89.035688,1.3704,-0.006049,-6.0486
13.741985,-89.034949,1.3937,-0.006152,-6.1516
13.741992,-89.034209,0.9932,-0.004384,-4.3837
13.741998,-89.03347,0.8602,-0.003797,-3.7967
13.742004,-89.03273,0.4559,-0.002012,-2.0122
13.74201,-89.031991,0.854,-0.003769,-3.7692
13.742016,-89.031251,0.6263,-0.002765,-2.7646
13.742022,-89.030512,0.3065,-0.001353,-1.3527
13.742028,-89.029772,1.1472,-0.005063,-5.0634
13.742034,-89.029033,0.7976,-0.00352,-3.5205
13.74204,-89.028293,0.7981,-0.003523,-3.5226
13.742046,-89.027554,-0.0175,7.7e-05,0.0771
13.742052,-89.026814,1.4279,-0.006303,-6.3026
13.742059,-89.026075,0.9675,-0.004271,-4.2706
13.742065,-89.025335,1.5878,-0.007008,-7.0083
13.742071,-89.024596,-0.0489,0.000216,0.2157
13.742077,-89.023856,-0.4632,0.002044,2.0443
13.742083,-89.023117,0.5496,-0.002426,-2.4258
13.742089,-89.022377,0.9513,-0.004199,-4.1989
13.742095,-89.021638,2.5024,-0.011045,-11.045
13.742101,-89.020898,-0.1428,0.000631,0.6305
13.742107,-89.020159,0.3892,-0.001718,-1.7179
13.742113,-89.019419,0.7429,-0.003279,-3.2791
13.742119,-89.018679,-0.4755,0.002099,2.0986
13.742125,-89.01794,-0.6363,0.002809,2.8086
13.742131,-89.0172,1.9255,-0.008499,-8.4987
13.742137,-89.016461,0.4009,-0.001769,-1.7694
13.742143,-89.015721,0.2771,-0.001223,-1.2232
13.742149,-89.014982,0.6148,-0.002714,-2.7136
13.742155,-89.014242,1.0232,-0.004516,-4.5161
13.742161,-89.013503,0.083,-0.000366,-0.3664
13.742168,-89.012763,-0.4801,0.002119,2.1189
13.742174,-89.012024,-0.4884,0.002156,2.1559
13.74218,-89.011284,-0.0631,0.000278,0.2784
13.742186,-89.010545,0.2624,-0.001158,-1.1583
13.742192,-89.009805,0.0922,-0.000407,-0.4072
13.742198,-89.009066,0.2813,-0.001241,-1.2415
13.742204,-89.008326,-0.2468,0.001089,1.0895
13.74221,-89.007587,0.0932,-0.000412,-0.4116
13.742216,-89.006847,0.1811,-0.000799,-0.7995
13.742222,-89.006108,0.7081,-0.003126,-3.1256
13.742228,-89.005368,-0.2883,0.001273,1.2725
13.742234,-89.004628,-0.0558,0.000246,0.2462
13.74224,-89.003889,-0.1788,0.000789,0.7892
13.742246,-89.003149,-0.1913,0.000845,0.8445
13.742252,-89.00241,0.0973,-0.000429,-0.4293
13.742258,-89.00167,-0.1309,0.000578,0.5777
