Latitud,Longitud,Valor_Sentinel,Temp_ERA5_(K),Factor_Error_(%)
1503000.0,328280.0,0.185,300.07,60.2
1503000.0,329400.0,0.215,300.03,59.09
1503000.0,330520.0,0.1007,299.95,57.39
1503000.0,331640.0,0.2269,299.87,55.28
1503000.0,332760.0,0.0599,299.77,52.95
1503000.0,333880.0,0.132,299.67,50.59
1503000.0,335000.0,0.1247,299.58,48.37
1503000.0,336120.0,0.1121,299.5,46.48
1503000.0,337240.0,0.0894,299.44,45.1
1503000.0,338360.0,0.0578,299.41,44.28
1503000.0,339480.0,0.0971,299.38,43.65
1503000.0,340600.0,0.122,299.36,43.18
1503000.0,341720.0,0.0827,299.35,42.86
1503000.0,342840.0,0.104,299.34,42.73
1503000.0,343960.0,0.2302,299.34,42.78
1503000.0,345080.0,0.1019,299.35,43.04
1503000.0,346200.0,0.0825,299.37,43.51
1503000.0,347320.0,0.0847,299.4,44.2
1503000.0,348440.0,0.1807,299.44,45.13
1503000.0,349560.0,0.4088,299.49,46.33
1503000.0,350680.0,0.127,299.55,47.78
1503000.0,351800.0,0.1272,299.62,49.48
1503000.0,352920.0,0.1449,299.7,51.39
1503000.0,354040.0,0.217,299.79,53.49
1503000.0,355160.0,0.1464,299.89,55.77
1503000.0,356280.0,0.1691,299.99,58.18
1503000.0,357400.0,0.2296,300.09,60.72
1503000.0,358520.0,0.0753,300.2,63.36
1503000.0,359640.0,0.1547,300.32,66.11
1503000.0,360760.0,0.1438,300.46,69.41
1503000.0,361880.0,0.1775,300.62,73.26
1503000.0,363000.0,0.0896,300.79,77.43
1503000.0,364120.0,0.1851,300.97,81.73
1503000.0,365240.0,0.1746,301.15,85.93
1503000.0,366360.0,0.2311,301.31,89.83
1503000.0,367480.0,0.2087,301.46,93.22
1503000.0,368600.0,0.1685,301.57,95.89
1503000.0,369720.0,0.1442,301.64,97.62
1503000.0,370840.0,0.1413,301.66,98.22
1503000.0,371960.0,0.4278,301.64,97.74
1503000.0,373080.0,0.1286,301.59,96.38
1503000.0,374200.0,0.1786,301.5,94.35
1503000.0,375320.0,0.2481,301.4,91.86
